Part,Description,Value,Case,Power,Supplier 1,Supplier Part Number 1,Library Path,Library Ref,Footprint Path,Footprint Ref,Company,Comment
RES0603_1.00,"RES 0603 1.00Ohm 1/10W",1.00,0603,1/10,Digikey,541-1HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.02,"RES 0603 1.02Ohm 1/10W",1.02,0603,1/10,Digikey,541-1.02HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.05,"RES 0603 1.05Ohm 1/10W",1.05,0603,1/10,Digikey,541-1.05HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.07,"RES 0603 1.07Ohm 1/10W",1.07,0603,1/10,Digikey,541-1.07HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.10,"RES 0603 1.10Ohm 1/10W",1.10,0603,1/10,Digikey,541-1.1HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.13,"RES 0603 1.13Ohm 1/10W",1.13,0603,1/10,Digikey,541-1.13HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.15,"RES 0603 1.15Ohm 1/10W",1.15,0603,1/10,Digikey,541-1.15HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.18,"RES 0603 1.18Ohm 1/10W",1.18,0603,1/10,Digikey,541-1.18HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.21,"RES 0603 1.21Ohm 1/10W",1.21,0603,1/10,Digikey,541-1.21HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.24,"RES 0603 1.24Ohm 1/10W",1.24,0603,1/10,Digikey,541-1.24HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.27,"RES 0603 1.27Ohm 1/10W",1.27,0603,1/10,Digikey,541-1.27HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.30,"RES 0603 1.30Ohm 1/10W",1.30,0603,1/10,Digikey,541-1.3HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.33,"RES 0603 1.33Ohm 1/10W",1.33,0603,1/10,Digikey,541-1.33HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.37,"RES 0603 1.37Ohm 1/10W",1.37,0603,1/10,Digikey,541-1.37HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.40,"RES 0603 1.40Ohm 1/10W",1.40,0603,1/10,Digikey,541-1.4HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.43,"RES 0603 1.43Ohm 1/10W",1.43,0603,1/10,Digikey,541-1.43HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.47,"RES 0603 1.47Ohm 1/10W",1.47,0603,1/10,Digikey,541-1.47HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.50,"RES 0603 1.50Ohm 1/10W",1.50,0603,1/10,Digikey,541-1.5HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.54,"RES 0603 1.54Ohm 1/10W",1.54,0603,1/10,Digikey,541-1.54HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.58,"RES 0603 1.58Ohm 1/10W",1.58,0603,1/10,Digikey,541-1.58HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.62,"RES 0603 1.62Ohm 1/10W",1.62,0603,1/10,Digikey,541-1.62HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.65,"RES 0603 1.65Ohm 1/10W",1.65,0603,1/10,Digikey,541-1.65HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.69,"RES 0603 1.69Ohm 1/10W",1.69,0603,1/10,Digikey,541-1.69HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.74,"RES 0603 1.74Ohm 1/10W",1.74,0603,1/10,Digikey,541-1.74HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.78,"RES 0603 1.78Ohm 1/10W",1.78,0603,1/10,Digikey,541-1.78HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.82,"RES 0603 1.82Ohm 1/10W",1.82,0603,1/10,Digikey,541-1.82HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.87,"RES 0603 1.87Ohm 1/10W",1.87,0603,1/10,Digikey,541-1.87HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.91,"RES 0603 1.91Ohm 1/10W",1.91,0603,1/10,Digikey,541-1.91HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_1.96,"RES 0603 1.96Ohm 1/10W",1.96,0603,1/10,Digikey,541-1.96HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.00,"RES 0603 2.00Ohm 1/10W",2.00,0603,1/10,Digikey,541-2HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.05,"RES 0603 2.05Ohm 1/10W",2.05,0603,1/10,Digikey,541-2.05HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.10,"RES 0603 2.10Ohm 1/10W",2.10,0603,1/10,Digikey,541-2.1HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.15,"RES 0603 2.15Ohm 1/10W",2.15,0603,1/10,Digikey,541-2.15HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.21,"RES 0603 2.21Ohm 1/10W",2.21,0603,1/10,Digikey,541-2.21HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.26,"RES 0603 2.26Ohm 1/10W",2.26,0603,1/10,Digikey,541-2.26HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.32,"RES 0603 2.32Ohm 1/10W",2.32,0603,1/10,Digikey,541-2.32HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.37,"RES 0603 2.37Ohm 1/10W",2.37,0603,1/10,Digikey,541-2.37HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.43,"RES 0603 2.43Ohm 1/10W",2.43,0603,1/10,Digikey,541-2.43HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.49,"RES 0603 2.49Ohm 1/10W",2.49,0603,1/10,Digikey,541-2.49HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.55,"RES 0603 2.55Ohm 1/10W",2.55,0603,1/10,Digikey,541-2.55HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.61,"RES 0603 2.61Ohm 1/10W",2.61,0603,1/10,Digikey,541-2.61HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.67,"RES 0603 2.67Ohm 1/10W",2.67,0603,1/10,Digikey,541-2.67HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.74,"RES 0603 2.74Ohm 1/10W",2.74,0603,1/10,Digikey,541-2.74HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.80,"RES 0603 2.80Ohm 1/10W",2.80,0603,1/10,Digikey,541-2.8HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.87,"RES 0603 2.87Ohm 1/10W",2.87,0603,1/10,Digikey,541-2.87HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_2.94,"RES 0603 2.94Ohm 1/10W",2.94,0603,1/10,Digikey,541-2.94HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.01,"RES 0603 3.01Ohm 1/10W",3.01,0603,1/10,Digikey,541-3.01HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.09,"RES 0603 3.09Ohm 1/10W",3.09,0603,1/10,Digikey,541-3.09HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.16,"RES 0603 3.16Ohm 1/10W",3.16,0603,1/10,Digikey,541-3.16HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.24,"RES 0603 3.24Ohm 1/10W",3.24,0603,1/10,Digikey,541-3.24HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.32,"RES 0603 3.32Ohm 1/10W",3.32,0603,1/10,Digikey,541-3.32HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.40,"RES 0603 3.40Ohm 1/10W",3.40,0603,1/10,Digikey,541-3.4HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.48,"RES 0603 3.48Ohm 1/10W",3.48,0603,1/10,Digikey,541-3.48HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.57,"RES 0603 3.57Ohm 1/10W",3.57,0603,1/10,Digikey,541-3.57HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.65,"RES 0603 3.65Ohm 1/10W",3.65,0603,1/10,Digikey,541-3.65HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.74,"RES 0603 3.74Ohm 1/10W",3.74,0603,1/10,Digikey,541-3.74HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.83,"RES 0603 3.83Ohm 1/10W",3.83,0603,1/10,Digikey,541-3.83HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_3.92,"RES 0603 3.92Ohm 1/10W",3.92,0603,1/10,Digikey,541-3.92HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_4.02,"RES 0603 4.02Ohm 1/10W",4.02,0603,1/10,Digikey,541-4.02HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_4.12,"RES 0603 4.12Ohm 1/10W",4.12,0603,1/10,Digikey,541-4.12HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_4.22,"RES 0603 4.22Ohm 1/10W",4.22,0603,1/10,Digikey,541-4.22HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_4.32,"RES 0603 4.32Ohm 1/10W",4.32,0603,1/10,Digikey,541-4.32HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_4.42,"RES 0603 4.42Ohm 1/10W",4.42,0603,1/10,Digikey,541-4.42HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_4.53,"RES 0603 4.53Ohm 1/10W",4.53,0603,1/10,Digikey,541-4.53HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_4.64,"RES 0603 4.64Ohm 1/10W",4.64,0603,1/10,Digikey,541-4.64HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
RES0603_4.75,"RES 0603 4.75Ohm 1/10W",4.75,0603,1/10,Digikey,541-4.75HHCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0603,Atlantix EDA, =Description
