Part,Description,Value,Case,Power,Supplier 1,Supplier Part Number 1,Library Path,Library Ref,Footprint Path,Footprint Ref,Company,Comment
RES0805_2.00,"RES 0805 2.00Ohm 1/8W",2.00,0805,1/8,Digikey,541-2CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.05,"RES 0805 2.05Ohm 1/8W",2.05,0805,1/8,Digikey,541-2.05CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.10,"RES 0805 2.10Ohm 1/8W",2.10,0805,1/8,Digikey,541-2.1CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.15,"RES 0805 2.15Ohm 1/8W",2.15,0805,1/8,Digikey,541-2.15CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.21,"RES 0805 2.21Ohm 1/8W",2.21,0805,1/8,Digikey,541-2.21CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.26,"RES 0805 2.26Ohm 1/8W",2.26,0805,1/8,Digikey,541-2.26CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.32,"RES 0805 2.32Ohm 1/8W",2.32,0805,1/8,Digikey,541-2.32CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.37,"RES 0805 2.37Ohm 1/8W",2.37,0805,1/8,Digikey,541-2.37CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.43,"RES 0805 2.43Ohm 1/8W",2.43,0805,1/8,Digikey,541-2.43CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.49,"RES 0805 2.49Ohm 1/8W",2.49,0805,1/8,Digikey,541-2.49CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_2.55,"RES 0805 2.55Ohm 1/8W",2.55,0805,1/8,Digikey,541-2.55CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
